Pkt_no,Time,src,dst,length,ttl,Type,RTT,lat,lon,mPci,mEarfcn,rssi,rsrp,rsrq,rssnr,lteLevel,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq
62,1685649942.349436000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
63,1685649942.395484000,142.250.72.164,10.215.173.1,132,64,0,46.048,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
64,1685649943.350776000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
65,1685649943.392773000,142.250.72.164,10.215.173.1,132,64,0,41.997,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
66,1685649944.352089000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
67,1685649944.392599000,142.250.72.164,10.215.173.1,132,64,0,40.51,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
68,1685649945.353526000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
69,1685649945.393009000,142.250.72.164,10.215.173.1,132,64,0,39.483,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
70,1685649946.355156000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
71,1685649946.392825000,142.250.72.164,10.215.173.1,132,64,0,37.669,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
72,1685649947.356532000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
73,1685649947.392887000,142.250.72.164,10.215.173.1,132,64,0,36.355,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
74,1685649948.357808000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
75,1685649948.402940000,142.250.72.164,10.215.173.1,132,64,0,45.132,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
76,1685649949.359956000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
77,1685649949.401856000,142.250.72.164,10.215.173.1,132,64,0,41.9,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
78,1685649950.362048000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
79,1685649950.418716000,142.250.72.164,10.215.173.1,132,64,0,56.668,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
80,1685649951.364184000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
81,1685649951.402631000,142.250.72.164,10.215.173.1,132,64,0,38.447,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
82,1685649952.364993000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
